text,question,info_column_two,info_column_three,text_answer,info_column_five,info_column_six,info_column_seven,info_column_eight,info_column_9,10,11,12,id,text_chunk,start_index
QUAL-01,Does your product process protected health information (PHI) or any data covered by the Health Insurance Portability and Accountability Act?,No,,Responses to the questions in the HIPAA section are optional.,,,,,,,,,0,QUAL-01,0.0
QUAL-02,Does the vended product host/support a mobile application? (e.g. app),Yes,,You are required to complete the questions in the Mobile Application section.,,,,,,,,,1,QUAL-02,0.0
QUAL-03,Will institution data be shared with or hosted by any third parties? (e.g. any entity not wholly-owned by your company is considered a third-party),Yes,Full Measure data centers are outsourced and hosted in Amazon Web Services in AWS us-east-1 (Northern Virginia) and us-east-2 (Ohio),You are required to complete the questions in the Third Parties section.,,,,,,,,,2,QUAL-03,0.0
QUAL-04,Do you have a Business Continuity Plan (BCP)?,Yes,Please see attached document.,You are required to complete the questions in the Business Continuity section.,,,,,,,,,3,QUAL-04,0.0
QUAL-05,Do you have a Disaster Recovery Plan (DRP)?,Yes,Please see attached document.,You are required to complete the questions in the Disaster Recovery section.,,,,,,,,,4,QUAL-05,0.0
QUAL-06,Will data regulated by PCI DSS reside in the vended product?,No,,Responses to the questions in the PCI DSS section are optional.,,,,,,,,,5,QUAL-06,0.0
QUAL-07,Is your company a consulting firm providing only consultation to the Institution?,No,,Responses to the questions in the Consulting section are optional.,,,,,,,,,6,QUAL-07,0.0
DOCU-01,Have you undergone a SSAE 16 audit?,Yes,AWS has both a SOC 2 and SOC 3 reports. https://d1.awsstatic.com/whitepapers/compliance/AWS_SOC3.pdf,"Provide the date of assessment and include a SOC 2 Type 2 (preferred) or SOC 3 report. If you have a SOC3 report, include a URL for the published report. Indicate if your hosting provider was the subject of the audit.",,,,,,,,,7,DOCU-01,0.0
DOCU-02,Have you completed the Cloud Security Alliance (CSA) self assessment or CAIQ?,Yes,AWS  https://d1.awsstatic.com/whitepapers/compliance/CSA_Consensus_Assessments_Initiative_Questionnaire.pdf,Please include a copy with your response and include a URL for the published assessment.,,,,,,,,,8,DOCU-02,0.0
DOCU-03,Have you received the Cloud Security Alliance STAR certification?,Yes,AWS publishes our CSA STAR Level 2 and ISO 27001:2013 certificates on the AWS website and the certificates are also available from AWS Artifact.,"Provide date of certification, any supporting documentation, and a URL for the certification.",,,,,,,,,9,DOCU-03,0.0
DOCU-04,"Do you conform with a specific industry standard security framework? (e.g. NIST Cybersecurity Framework, ISO 27001, etc.)",Yes,ISO 27001 via AWS https://aws.amazon.com/compliance/iso-27001-faqs/,"Provide documentation on how your organization conforms to each framework and indicate current certification levels, where appropriate.",,,,,,,,,10,DOCU-04,0.0
DOCU-05,Are you compliant with FISMA standards?,Yes,AWS is compliant with FISMA standards: https://d1.awsstatic.com/whitepapers/compliance/AWS_Compliance_Quick_Reference.pdf,"Indicate level, agency issuing ATO, and necessary details on ATO. If using FEDRamp, please indicate the supporting details.",,,,,,,,,11,DOCU-05,0.0
COMP-02,Describe how long your organization has conducted business in this product area.,"FME is a company dedicated to the higher education industry, and has worked exclusively with higher education institutions since its founding in 2013. Our mission is to enable our institution partners to develop rich communications throughout the complete student lifecycle. Our technology allows institutions to turn pivotal moments into opportunities for deeper, more meanginful engagement through text messaging and personalized interactive content. We keep students fully engaged, informed and motivated to persist through the entire student lifecycle—from initial inquiry to completion, and then to career. 
COMP-03,Do you have existing higher education customers?,Yes,Please see references PDF attached.,Provide a list of Higher Ed references"," with contact information.""",,,,,,,,,,12,COMP-02,0.0
COMP-04,Have you had a significant breach in the last 5 years?,No,,,,,,,,,,,13,COMP-04,0.0
COMP-05,Do you have a dedicated Information Security staff or office?,No,"Full Measure does not have a physical security staff, as all physical hardware is managed by AWS. The Full Measure development team is responsible for internal security, but do not hold any security certifications.",Describe any plans to create an Information Security Office for your organization.,,,,,,,,,14,COMP-05,0.0
